x_value,y_value,z_value
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
inf,inf,4.5
459.3610203168863,430.7842094588839,4.5
457.9280527368936,417.127426583996,4.5
456.47495030721524,404.5532191647651,4.5
450.8357972434737,390.40749764126167,4.5
449.54599908594105,379.9340018483224,4.5
448.277263307966,370.1299226102304,4.5
447.04076218723884,360.9062779196313,4.5
445.8461612608586,352.1845909308959,4.5
448.2310596850191,344.9654003630526,4.5
447.03514481269673,336.8303864654208,4.5
445.9104192428953,329.0233869169627,4.5
444.8631450605203,321.48841768046316,4.5
443.8995453859525,314.1728681675204,4.5
486.05732043091854,309.1404100293194,4.5
550.2297306060791,300.0,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
309.1868657220936,297.2131947504569,4.5
308.86103255615706,296.82947185465275,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,-inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
-inf,inf,4.5
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
inf,inf,4.0
457.0057098597838,428.85125612092287,4.0
455.60574476733194,415.40508560975866,4.0
454.18503010825987,403.0231434052832,4.0
448.6479870809774,389.09617469458647,4.0
447.38549905865284,378.77919052451483,4.0
446.14344714265576,369.12070272581116,4.0
444.9326853393193,360.0330838986983,4.0
443.7626712243839,351.43910627554345,4.0
446.1135001052546,344.32304568719,4.0
444.94190248434177,336.3060565576474,4.0
443.8399618137573,328.6115473281741,4.0
442.81400005904885,321.18445573306064,4.0
441.87019902835414,313.9729949968628,4.0
483.8544859755176,309.0321917119619,4.0
547.2898864746094,300.0,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
309.0746293080822,297.2472412944273,4.0
308.74661428556345,296.87041136649407,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,-inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
-inf,inf,4.0
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
inf,inf,3.5
455.07806767780585,427.2692810658669,3.5
453.7068653897387,413.99678068206185,3.5
452.31432339243213,401.7731771399549,3.5
446.86370959316105,388.0267199251014,3.5
445.62516545588505,377.83827261084707,3.5
444.40587029520043,368.2988900815605,3.5
443.217301522942,359.3225486572795,3.5
442.0684996236371,350.8329219839077,3.5
444.3916251549924,343.80072063144144,3.5
443.2408907153758,335.8799752903895,3.5
442.1586192265579,328.277107493778,3.5
441.1509879931574,320.9377711959784,3.5
440.22420591820514,313.810878825528,3.5
482.13788248721085,308.9478603902781,3.5
545.0035285949707,300.0,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
308.9864053590673,297.2740037367757,3.5
308.65554602960884,296.9029961095047,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
381.18342768537724,104.00586784202693,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
inf,-inf,3.5
